Area name, Code,"Agriculture, forestry & fishing",Production,Construction,Motor trades,Wholesale,Retail,Transport & Storage (inc postal),Accommodation & food services,Information & communication,Finance & insurance,Property,"Professional, scientific & technical",Business administration & support services,Public administration & defence,Education,Health,"Arts, entertainment, recreation & other services",Total
Newcastle upon Tyne,E08000021,35,395,720,235,330,"1,320",215,"1,025",585,300,455,"1,560",825,90,310,890,860,"10,150"
North Tyneside,E08000022,50,390,605,195,245,725,145,500,295,120,165,910,435,40,160,495,420,"5,895"
South Tyneside,E08000023,25,290,410,90,125,485,150,360,120,60,85,620,270,25,125,305,325,"3,870"
Sunderland,E08000024,60,535,750,245,290,"1,005",230,660,270,155,175,800,560,60,230,545,575,"7,145"
Gateshead,E08000037,65,440,685,245,400,930,225,485,290,130,255,770,535,20,190,475,450,"6,590"
Allerdale,E07000026,"1,085",275,560,140,125,470,155,490,75,105,100,610,395,85,145,245,295,"5,355"
Barrow-in-Furness,E07000027,80,190,305,75,55,285,55,200,65,35,40,540,205,20,75,160,165,"2,550"
Carlisle,E07000028,840,250,540,225,195,595,285,395,120,280,210,435,300,75,130,265,335,"5,475"
Copeland,E07000029,480,155,265,65,40,235,75,260,65,30,40,675,270,35,85,155,190,"3,120"
Eden,E07000030,"1,345",195,375,90,115,295,165,305,75,45,85,295,225,50,110,155,170,"4,095"
South Lakeland,E07000031,"1,075",360,770,190,235,790,150,785,205,115,225,790,435,75,210,335,440,"7,185"
Burnley,E07000117,60,285,335,115,160,400,80,230,110,75,80,330,210,30,80,240,225,"3,045"
Chorley,E07000118,235,275,540,190,200,485,200,270,255,100,125,665,365,35,145,270,310,"4,665"
Fylde,E07000119,195,185,335,105,125,395,110,255,245,95,135,540,255,35,105,240,225,"3,580"
Hyndburn,E07000120,60,295,260,130,150,330,110,195,70,65,90,215,185,15,75,220,185,"2,650"
Lancaster,E07000121,500,305,540,175,220,635,180,455,220,100,160,625,340,50,160,390,345,"5,400"
Pendle,E07000122,195,340,330,125,165,410,95,185,105,70,90,305,225,30,85,225,225,"3,205"
Preston,E07000123,195,310,540,250,315,795,185,385,265,250,260,800,500,65,140,455,435,"6,145"
Ribble Valley,E07000124,565,190,350,110,160,340,105,230,105,75,135,470,220,25,95,160,205,"3,540"
Rossendale,E07000125,115,275,285,110,160,280,120,155,105,45,75,360,230,20,75,185,190,"2,785"
South Ribble,E07000126,190,345,545,200,195,395,165,215,245,95,145,510,375,30,115,260,290,"4,315"
West Lancashire,E07000127,485,320,540,190,250,445,255,255,200,90,155,580,360,25,130,250,310,"4,840"
